date,gmv,users,marketing_cost,fe_pods,be_pods
2024-09-05,10087811.0,90562.0,185461.0,11,6
2024-09-06,10179020.0,75458.0,188202.0,11,6
2024-09-07,9414248.0,88669.0,187472.0,11,6
2024-09-08,8778962.0,73867.0,182702.0,11,5
2024-09-09,8284714.0,83627.0,198632.0,11,5
2024-09-10,9316312.0,71579.0,174079.0,11,4
2024-09-11,10637811.0,85726.0,152238.0,11,4
2024-09-12,8090496.0,77002.0,156111.0,11,4
2024-09-13,8141443.0,70812.0,151594.0,11,6
2024-09-14,9566640.0,71416.0,159584.0,11,7
2024-09-15,9630704.0,87651.0,165747.0,11,6
2024-09-16,9542500.0,78017.0,160484.0,13,5
2024-09-17,8710390.0,90285.0,151038.0,14,4
2024-09-18,8722711.0,82285.0,156860.0,14,6
2024-09-19,9113545.0,89893.0,149312.0,14,4
2024-09-20,8748068.0,91209.0,163855.0,14,6
2024-09-21,10506911.0,88731.0,145349.0,14,6
2024-09-22,8936234.0,77832.0,145746.0,14,4
2024-09-23,10106478.0,85117.0,216573.0,14,6
2024-09-24,10201858.0,78981.0,187804.0,14,5
2024-09-25,8590161.0,79132.0,203891.0,14,5
2024-09-26,9392041.0,76614.0,188081.0,14,4
2024-09-27,9970369.0,77258.0,165997.0,14,5
2024-09-28,8498681.0,90420.0,159582.0,14,5
2024-09-29,8728310.0,72198.0,202232.0,14,4
2024-09-30,10901731.0,77404.0,163948.0,14,5
2024-10-01,10483333.0,79202.0,178491.0,11,5
2024-10-02,9863699.0,80556.0,147287.0,11,5
2024-10-03,9427692.0,92434.0,193527.0,11,4
2024-10-04,9527130.0,81279.0,192993.0,11,4
2024-10-05,9165650.0,84268.0,149304.0,11,4
2024-10-06,10427329.0,81483.0,206362.0,11,5
2024-10-07,10787379.0,83919.0,205225.0,11,6
2024-10-08,10069260.0,91503.0,211603.0,11,5
2024-10-09,11024605.0,80275.0,176028.0,11,5
2024-10-10,9186565.0,92562.0,180969.0,11,3
2024-10-11,11016854.0,79788.0,216326.0,11,5
2024-10-12,9243797.0,88118.0,168275.0,11,4
2024-10-13,9303067.0,94017.0,171038.0,11,6
2024-10-14,10278920.0,80436.0,180394.0,11,5
2024-10-15,10097127.0,93123.0,192729.0,11,5
2024-10-16,10374420.0,90220.0,209452.0,13,5
2024-10-17,10939349.0,83799.0,180046.0,14,4
2024-10-18,10770328.0,88049.0,217786.0,14,5
2024-10-19,10061345.0,90351.0,160104.0,14,5
2024-10-20,10835814.0,81983.0,217830.0,16,5
2024-10-21,8824787.0,81935.0,166878.0,15,5
2024-10-22,11432169.0,84501.0,215689.0,16,7
2024-10-23,8650533.0,98472.0,208504.0,14,4
2024-10-24,9933939.0,92750.0,192842.0,14,4
2024-10-25,10179747.0,85997.0,216085.0,14,5
2024-10-26,11140520.0,87680.0,184964.0,14,4
2024-10-27,8903281.0,90266.0,179988.0,14,4
2024-10-28,10050229.0,98596.0,185872.0,14,6
2024-10-29,9034394.0,83189.0,178228.0,14,5
2024-10-30,10411855.0,103559.0,174871.0,14,4
2024-10-31,9449268.0,84185.0,181014.0,14,7
2024-11-01,10858213.0,95876.0,190970.0,11,7
2024-11-02,9120606.0,85376.0,171200.0,11,5
2024-11-03,10854340.0,101577.0,192354.0,11,5
2024-11-04,10925488.0,96374.0,167520.0,11,4
2024-11-05,9562054.0,102888.0,207587.0,11,4
2024-11-06,11853034.0,93754.0,187337.0,13,5
2024-11-07,9828207.0,82560.0,206526.0,13,6
2024-11-08,10910412.0,91536.0,164711.0,13,5
2024-11-09,12056367.0,79574.0,200440.0,13,6
2024-11-10,12069699.0,98767.0,176341.0,14,6
2024-11-11,11752531.0,91589.0,220102.0,14,7
2024-11-12,9326423.0,84779.0,179853.0,14,6
2024-11-13,11072076.0,86072.0,168670.0,14,6
2024-11-14,10753055.0,94735.0,161782.0,14,6
2024-11-15,10725552.0,95635.0,203632.0,14,7
2024-11-16,9114801.0,108727.0,210413.0,16,5
2024-11-17,9772953.0,83161.0,175858.0,16,5
2024-11-18,10822111.0,107819.0,202882.0,14,5
2024-11-19,11265941.0,93250.0,202933.0,16,5
2024-11-20,11320067.0,100550.0,170794.0,16,5
2024-11-21,9894104.0,91807.0,169879.0,16,4
2024-11-22,9640786.0,100274.0,191268.0,14,5
2024-11-23,10533164.0,102457.0,180832.0,16,5
2024-11-24,12554942.0,90846.0,176073.0,17,5
2024-11-25,10475760.0,95413.0,154717.0,16,6
2024-11-26,12625732.0,101865.0,224896.0,17,5
2024-11-27,10737834.0,90284.0,173822.0,17,7
2024-11-28,11922876.0,110650.0,201310.0,17,6
2024-11-29,9832200.0,97040.0,191389.0,17,5
2024-11-30,12025574.0,85841.0,162074.0,17,5
2024-12-01,10897904.0,91064.0,172803.0,14,6
2024-12-02,11859055.0,86244.0,163709.0,14,8
2024-12-03,10729452.0,108336.0,218017.0,14,6
2024-12-04,10461659.0,98971.0,199224.0,14,6
2024-12-05,9844351.0,103849.0,214793.0,13,6
2024-12-06,11583622.0,94697.0,197392.0,14,5
2024-12-07,12916953.0,91329.0,162326.0,14,8
2024-12-08,9839909.0,97540.0,217970.0,14,6
2024-12-09,9932600.0,90762.0,201667.0,13,6
2024-12-10,10609199.0,99601.0,230052.0,13,6
2024-12-11,12842091.0,110524.0,170401.0,14,7
2024-12-12,12490023.0,96643.0,191073.0,14,8
2024-12-13,12368711.0,106459.0,173143.0,14,7
2024-12-14,12322689.0,95500.0,228058.0,14,6
2024-12-15,22083783.0,215217.0,218717.0,18,10
2024-12-16,21452856.0,192976.0,256985.0,20,11
2024-12-17,20035572.0,200316.0,265768.0,21,9
2024-12-18,20006966.0,199936.0,284717.0,21,8
2024-12-19,21232920.0,192132.0,286723.0,21,10
2024-12-20,22062332.0,209410.0,299337.0,21,9
2024-12-21,11639536.0,102212.0,169965.0,18,7
2024-12-22,10497407.0,106428.0,178669.0,18,9
2024-12-23,12403797.0,91312.0,156472.0,18,9
2024-12-24,11014759.0,110252.0,210423.0,18,7
2024-12-25,12063116.0,117186.0,208541.0,18,6
2024-12-26,12818464.0,90479.0,219055.0,17,9
2024-12-27,10374827.0,117201.0,225887.0,17,7
2024-12-28,11635711.0,118319.0,187296.0,17,6
2024-12-29,13195311.0,111138.0,199811.0,17,6
2024-12-30,12180082.0,111142.0,156688.0,17,6
2024-12-31,13224723.0,111720.0,163958.0,17,7
